benchmark,benchmark_split,item_id,model,model_id,condition,condition_name,frame_family,frame_placement,family,difficulty,domain,setting_type,dissociation_target,gold_heart_worse,gold_act_worse,j1_heart_correct,j1_act_correct,j2_heart_correct,j2_act_correct,heart_revision,act_revision,any_revision,heart_revision_toward_gold,heart_revision_away_from_gold,act_revision_toward_gold,act_revision_away_from_gold,explanation_christianization_score,explanation_direct_frame_echo_rate,explanation_heart_semantic_rate_inclusive,explanation_heart_semantic_rate_controlled,explanation_act_semantic_rate,explanation_heart_focus_inclusive,explanation_heart_focus_controlled,explanation_structure_score,explanation_structure_density,explanation_token_count,n_prompt_variants,j1_heart_worse,j1_act_worse,j2_heart_worse,j2_act_worse
heartbench_v2_dev,dev,hbv2_fabm_002,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,baseline,Baseline Staged,none,none,flawed_act_benevolent_motive,hard,family,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.02040816326530612,-0.02040816326530612,0.25,0.061224489795918366,49.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_002,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,christian_post,Christian Post,christian,post,flawed_act_benevolent_motive,hard,family,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.25,0.029411764705882353,34.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_002,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,christian_pre,Christian Pre,christian,pre,flawed_act_benevolent_motive,hard,family,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.0,0.03773584905660377,-0.018867924528301886,-0.03773584905660377,0.75,0.09433962264150944,53.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_002,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,judgment_only,Judgment Only,none,none,flawed_act_benevolent_motive,hard,family,private,True,B,A,0.0,0.0,,,,,,,,,,,,,,,,,,,,1,A,B,,
heartbench_v2_dev,dev,hbv2_fabm_002,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,secular_post,Secular Post,secular,post,flawed_act_benevolent_motive,hard,family,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,20.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_002,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,secular_pre,Secular Pre,secular,pre,flawed_act_benevolent_motive,hard,family,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.017241379310344827,0.0,0.017241379310344827,0.0,0.017241379310344827,0.0,-0.017241379310344827,0.75,0.06896551724137931,58.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_002,qwen2.5:7b-instruct,qwen2.5:7b-instruct,baseline,Baseline Staged,none,none,flawed_act_benevolent_motive,hard,family,private,True,B,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.029850746268656716,0.029850746268656716,0.0,0.0,0.75,0.08955223880597014,67.0,1,A,tie,A,tie
heartbench_v2_dev,dev,hbv2_fabm_002,qwen2.5:7b-instruct,qwen2.5:7b-instruct,christian_post,Christian Post,christian,post,flawed_act_benevolent_motive,hard,family,private,True,B,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061855670103092786,0.061855670103092786,0.10309278350515463,0.030927835051546393,0.0,0.10309278350515463,0.030927835051546393,1.0,0.12371134020618557,97.0,1,A,tie,A,tie
heartbench_v2_dev,dev,hbv2_fabm_002,qwen2.5:7b-instruct,qwen2.5:7b-instruct,christian_pre,Christian Pre,christian,pre,flawed_act_benevolent_motive,hard,family,private,True,B,A,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.07575757575757576,0.030303030303030304,0.015151515151515152,0.06060606060606061,0.015151515151515152,1.0,0.13636363636363635,66.0,1,A,B,B,B
heartbench_v2_dev,dev,hbv2_fabm_002,qwen2.5:7b-instruct,qwen2.5:7b-instruct,judgment_only,Judgment Only,none,none,flawed_act_benevolent_motive,hard,family,private,True,B,A,0.0,0.0,,,,,,,,,,,,,,,,,,,,1,A,tie,,
heartbench_v2_dev,dev,hbv2_fabm_002,qwen2.5:7b-instruct,qwen2.5:7b-instruct,secular_post,Secular Post,secular,post,flawed_act_benevolent_motive,hard,family,private,True,B,A,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.75,0.13846153846153847,65.0,1,A,tie,A,B
heartbench_v2_dev,dev,hbv2_fabm_002,qwen2.5:7b-instruct,qwen2.5:7b-instruct,secular_pre,Secular Pre,secular,pre,flawed_act_benevolent_motive,hard,family,private,True,B,A,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.0,0.5,0.11475409836065574,61.0,1,B,tie,B,tie
heartbench_v2_dev,dev,hbv2_fabm_004,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,baseline,Baseline Staged,none,none,flawed_act_benevolent_motive,medium,friendship,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.023809523809523808,1.0,0.11904761904761904,42.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_004,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,christian_post,Christian Post,christian,post,flawed_act_benevolent_motive,medium,friendship,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.0,0.25,0.02564102564102564,39.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_004,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,christian_pre,Christian Pre,christian,pre,flawed_act_benevolent_motive,medium,friendship,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,-0.041666666666666664,-0.041666666666666664,1.0,0.125,48.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_004,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,judgment_only,Judgment Only,none,none,flawed_act_benevolent_motive,medium,friendship,private,True,B,A,0.0,0.0,,,,,,,,,,,,,,,,,,,,1,A,B,,
heartbench_v2_dev,dev,hbv2_fabm_004,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,secular_post,Secular Post,secular,post,flawed_act_benevolent_motive,medium,friendship,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.017241379310344827,0.017241379310344827,0.034482758620689655,0.0,0.05172413793103448,-0.017241379310344827,-0.05172413793103448,1.0,0.1206896551724138,58.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_004,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,secular_pre,Secular Pre,secular,pre,flawed_act_benevolent_motive,medium,friendship,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.015384615384615385,0.0,0.015384615384615385,0.0,0.046153846153846156,-0.03076923076923077,-0.046153846153846156,0.75,0.07692307692307693,65.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_004,qwen2.5:7b-instruct,qwen2.5:7b-instruct,baseline,Baseline Staged,none,none,flawed_act_benevolent_motive,medium,friendship,private,True,B,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.031746031746031744,-0.015873015873015872,-0.015873015873015872,0.75,0.14285714285714285,63.0,1,B,A,B,A
heartbench_v2_dev,dev,hbv2_fabm_004,qwen2.5:7b-instruct,qwen2.5:7b-instruct,christian_post,Christian Post,christian,post,flawed_act_benevolent_motive,medium,friendship,private,True,B,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,1.0,0.15151515151515152,66.0,1,B,A,B,A
heartbench_v2_dev,dev,hbv2_fabm_004,qwen2.5:7b-instruct,qwen2.5:7b-instruct,christian_pre,Christian Pre,christian,pre,flawed_act_benevolent_motive,medium,friendship,private,True,B,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,1.0,0.20833333333333334,48.0,1,B,A,B,A
heartbench_v2_dev,dev,hbv2_fabm_004,qwen2.5:7b-instruct,qwen2.5:7b-instruct,judgment_only,Judgment Only,none,none,flawed_act_benevolent_motive,medium,friendship,private,True,B,A,1.0,1.0,,,,,,,,,,,,,,,,,,,,1,B,A,,
heartbench_v2_dev,dev,hbv2_fabm_004,qwen2.5:7b-instruct,qwen2.5:7b-instruct,secular_post,Secular Post,secular,post,flawed_act_benevolent_motive,medium,friendship,private,True,B,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.025974025974025976,0.03896103896103896,0.0,0.03896103896103896,0.0,-0.03896103896103896,0.75,0.09090909090909091,77.0,1,B,A,B,A
heartbench_v2_dev,dev,hbv2_fabm_004,qwen2.5:7b-instruct,qwen2.5:7b-instruct,secular_pre,Secular Pre,secular,pre,flawed_act_benevolent_motive,medium,friendship,private,True,B,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.017857142857142856,0.03571428571428571,-0.017857142857142856,-0.017857142857142856,0.75,0.14285714285714285,56.0,1,B,A,B,A
heartbench_v2_dev,dev,hbv2_fabm_006,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,baseline,Baseline Staged,none,none,flawed_act_benevolent_motive,medium,workplace,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.03636363636363636,55.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_006,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,christian_post,Christian Post,christian,post,flawed_act_benevolent_motive,medium,workplace,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,-0.03333333333333333,0.5,0.08333333333333333,60.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_006,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,christian_pre,Christian Pre,christian,pre,flawed_act_benevolent_motive,medium,workplace,private,True,B,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0,0.75,0.0547945205479452,73.0,1,A,B,A,B
heartbench_v2_dev,dev,hbv2_fabm_006,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,judgment_only,Judgment Only,none,none,flawed_act_benevolent_motive,medium,workplace,private,True,B,A,0.0,0.0,,,,,,,,,,,,,,,,,,,,1,A,B,,
heartbench_v2_dev,dev,hbv2_fabm_006,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,secular_post,Secular Post,secular,post,flawed_act_benevolent_motive,medium,workplace,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.015384615384615385,0.015384615384615385,0.03076923076923077,0.0,0.015384615384615385,0.015384615384615385,-0.015384615384615385,0.75,0.06153846153846154,65.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_006,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,secular_pre,Secular Pre,secular,pre,flawed_act_benevolent_motive,medium,workplace,private,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.015625,0.0,0.03125,0.015625,0.03125,0.0,-0.015625,0.75,0.0625,64.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_006,qwen2.5:7b-instruct,qwen2.5:7b-instruct,baseline,Baseline Staged,none,none,flawed_act_benevolent_motive,medium,workplace,private,True,B,A,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.017857142857142856,0.0,0.017857142857142856,0.0,-0.017857142857142856,0.75,0.16071428571428573,56.0,1,B,B,B,B
heartbench_v2_dev,dev,hbv2_fabm_006,qwen2.5:7b-instruct,qwen2.5:7b-instruct,christian_post,Christian Post,christian,post,flawed_act_benevolent_motive,medium,workplace,private,True,B,A,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057971014492753624,0.057971014492753624,0.07246376811594203,0.014492753623188406,0.028985507246376812,0.043478260869565216,-0.014492753623188406,1.0,0.14492753623188406,69.0,1,B,B,B,B
heartbench_v2_dev,dev,hbv2_fabm_006,qwen2.5:7b-instruct,qwen2.5:7b-instruct,christian_pre,Christian Pre,christian,pre,flawed_act_benevolent_motive,medium,workplace,private,True,B,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.03508771929824561,0.08771929824561403,0.03508771929824561,0.017543859649122806,0.07017543859649122,0.017543859649122806,1.0,0.14035087719298245,57.0,1,B,A,B,A
heartbench_v2_dev,dev,hbv2_fabm_006,qwen2.5:7b-instruct,qwen2.5:7b-instruct,judgment_only,Judgment Only,none,none,flawed_act_benevolent_motive,medium,workplace,private,True,B,A,1.0,0.0,,,,,,,,,,,,,,,,,,,,1,B,B,,
heartbench_v2_dev,dev,hbv2_fabm_006,qwen2.5:7b-instruct,qwen2.5:7b-instruct,secular_post,Secular Post,secular,post,flawed_act_benevolent_motive,medium,workplace,private,True,B,A,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.028985507246376812,0.043478260869565216,0.0,0.043478260869565216,0.0,-0.043478260869565216,0.5,0.08695652173913043,69.0,1,B,B,B,B
heartbench_v2_dev,dev,hbv2_fabm_006,qwen2.5:7b-instruct,qwen2.5:7b-instruct,secular_pre,Secular Pre,secular,pre,flawed_act_benevolent_motive,medium,workplace,private,True,B,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.03225806451612903,0.0,0.03225806451612903,0.0,-0.03225806451612903,0.75,0.0967741935483871,62.0,1,B,A,B,A
heartbench_v2_dev,dev,hbv2_fabm_008,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,baseline,Baseline Staged,none,none,flawed_act_benevolent_motive,medium,community,public,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,-0.02857142857142857,0.5,0.05714285714285714,35.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_008,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,christian_post,Christian Post,christian,post,flawed_act_benevolent_motive,medium,community,public,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.04,0.04,0.05333333333333334,0.013333333333333334,0.02666666666666667,0.02666666666666667,-0.013333333333333334,0.5,0.06666666666666667,75.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_008,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,christian_pre,Christian Pre,christian,pre,flawed_act_benevolent_motive,medium,community,public,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.125,0.125,0.125,0.025,0.025,0.1,0.0,0.75,0.125,40.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_008,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,judgment_only,Judgment Only,none,none,flawed_act_benevolent_motive,medium,community,public,True,B,A,0.0,0.0,,,,,,,,,,,,,,,,,,,,1,A,B,,
heartbench_v2_dev,dev,hbv2_fabm_008,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,secular_post,Secular Post,secular,post,flawed_act_benevolent_motive,medium,community,public,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.01694915254237288,0.05084745762711865,0.03389830508474576,0.0,0.06779661016949153,-0.03389830508474576,-0.06779661016949153,1.0,0.1016949152542373,59.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_008,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,secular_pre,Secular Pre,secular,pre,flawed_act_benevolent_motive,medium,community,public,True,B,A,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.041666666666666664,24.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_fabm_008,qwen2.5:7b-instruct,qwen2.5:7b-instruct,baseline,Baseline Staged,none,none,flawed_act_benevolent_motive,medium,community,public,True,B,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.01818181818181818,0.03636363636363636,-0.01818181818181818,-0.01818181818181818,0.75,0.14545454545454545,55.0,1,B,A,B,A
heartbench_v2_dev,dev,hbv2_fabm_008,qwen2.5:7b-instruct,qwen2.5:7b-instruct,christian_post,Christian Post,christian,post,flawed_act_benevolent_motive,medium,community,public,True,B,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08928571428571429,0.08928571428571429,0.10714285714285714,0.017857142857142856,0.017857142857142856,0.08928571428571429,0.0,1.0,0.125,56.0,1,B,A,B,A
heartbench_v2_dev,dev,hbv2_fabm_008,qwen2.5:7b-instruct,qwen2.5:7b-instruct,christian_pre,Christian Pre,christian,pre,flawed_act_benevolent_motive,medium,community,public,True,B,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.031746031746031744,0.047619047619047616,0.015873015873015872,0.047619047619047616,0.0,-0.031746031746031744,1.0,0.14285714285714285,63.0,1,A,B,A,B
heartbench_v2_dev,dev,hbv2_fabm_008,qwen2.5:7b-instruct,qwen2.5:7b-instruct,judgment_only,Judgment Only,none,none,flawed_act_benevolent_motive,medium,community,public,True,B,A,1.0,1.0,,,,,,,,,,,,,,,,,,,,1,B,A,,
heartbench_v2_dev,dev,hbv2_fabm_008,qwen2.5:7b-instruct,qwen2.5:7b-instruct,secular_post,Secular Post,secular,post,flawed_act_benevolent_motive,medium,community,public,True,B,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.025,0.025,0.0,0.025,0.0,-0.025,0.75,0.125,80.0,1,B,A,B,A
heartbench_v2_dev,dev,hbv2_fabm_008,qwen2.5:7b-instruct,qwen2.5:7b-instruct,secular_pre,Secular Pre,secular,pre,flawed_act_benevolent_motive,medium,community,public,True,B,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.06,-0.06,0.75,0.1,50.0,1,B,A,B,A
heartbench_v2_dev,dev,hbv2_gacm_001,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,baseline,Baseline Staged,none,none,good_act_corrupt_motive,medium,workplace,public,True,A,tie,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.0,0.0,0.75,0.09090909090909091,33.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_gacm_001,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,christian_post,Christian Post,christian,post,good_act_corrupt_motive,medium,workplace,public,True,A,tie,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.03508771929824561,0.043859649122807015,0.008771929824561403,0.05263157894736842,-0.008771929824561403,-0.043859649122807015,0.75,0.06140350877192982,114.0,1,A,B,A,B
heartbench_v2_dev,dev,hbv2_gacm_001,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,christian_pre,Christian Pre,christian,pre,good_act_corrupt_motive,medium,workplace,public,True,A,tie,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.5,0.061224489795918366,49.0,1,A,B,B,A
heartbench_v2_dev,dev,hbv2_gacm_001,qwen2.5:0.5b-instruct,qwen2.5:0.5b-instruct,judgment_only,Judgment Only,none,none,good_act_corrupt_motive,medium,workplace,public,True,A,tie,1.0,0.0,,,,,,,,,,,,,,,,,,,,1,A,B,,
